Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Finding Nemo,-,-,-,"$339,714,184","3,425","$339,714,978",May 30,Walt Disney Studios Motion Pictures,false
2,Pirates of the Caribbean: The Curse of the Black Pearl,-,-,-,"$305,398,779","3,416","$305,413,918",Jul 9,Walt Disney Studios Motion Pictures,false
3,The Matrix Reloaded,-,-,-,"$281,576,461","3,603","$281,576,461",May 15,Warner Bros.,false
4,The Lord of the Rings: The Return of the King,-,-,-,"$249,445,927","3,703","$377,027,325",Dec 17,New Line Cinema,false
5,Bruce Almighty,-,-,-,"$242,829,261","3,549","$242,829,261",May 23,Universal Pictures,false
6,X2: X-Men United,-,-,-,"$214,949,694","3,749","$214,949,694",May 2,Twentieth Century Fox,false
7,Elf,-,-,-,"$167,547,000","3,381","$173,398,518",Nov 7,New Line Cinema,false
8,Chicago,-,-,-,"$167,511,932","2,701","$170,687,518",Dec 27,Miramax,false
9,Terminator 3: Rise of the Machines,-,-,-,"$150,371,112","3,504","$150,371,112",Jul 2,Warner Bros.,false
10,Bad Boys II,-,-,-,"$138,608,444","3,202","$138,608,444",Jul 18,Sony Pictures Entertainment (SPE),false
11,The Matrix Revolutions,-,-,-,"$138,041,173","3,502","$139,313,948",Nov 5,Warner Bros.,false
12,Anger Management,-,-,-,"$135,645,823","3,656","$135,645,823",Apr 11,Revolution Studios,false
13,Bringing Down the House,-,-,-,"$132,716,848","2,910","$132,716,677",Mar 7,Walt Disney Studios Motion Pictures,false
14,Hulk,-,-,-,"$132,177,234","3,674","$132,177,234",Jun 20,Universal Pictures,false
15,2 Fast 2 Furious,-,-,-,"$127,154,901","3,418","$127,154,901",Jun 6,Universal Pictures,false
16,The Lord of the Rings: The Two Towers,-,-,-,"$121,193,976","3,622","$339,789,881",Dec 18,New Line Cinema,false
17,Seabiscuit,-,-,-,"$120,231,534","2,573","$120,277,854",Jul 25,Universal Pictures,false
18,S.W.A.T.,-,-,-,"$116,934,650","3,220","$116,934,650",Aug 8,Sony Pictures Entertainment (SPE),false
19,Spy Kids 3-D: Game Over,-,-,-,"$111,637,760","3,388","$111,761,982",Jul 25,Dimension Films,false
20,Freaky Friday,-,-,-,"$110,100,826","3,067","$110,230,332",Aug 6,Walt Disney Studios Motion Pictures,false
21,Scary Movie 3,-,-,-,"$109,362,202","3,505","$110,003,217",Oct 24,Dimension Films,false
22,The Italian Job,-,-,-,"$106,128,601","2,877","$106,128,601",May 30,Paramount Pictures,false
23,How to Lose a Guy in 10 Days,-,-,-,"$105,813,373","2,923","$105,813,373",Feb 7,Paramount Pictures,false
24,American Wedding,-,-,-,"$104,565,114","3,175","$104,565,114",Aug 1,Universal Pictures,false
25,Daddy Day Care,-,-,-,"$104,297,061","3,472","$104,297,061",May 9,Revolution Studios,false
26,Daredevil,-,-,-,"$102,543,518","3,474","$102,543,518",Feb 14,Twentieth Century Fox,false
27,Catch Me If You Can,-,-,-,"$102,042,590","3,225","$164,615,351",Dec 25,DreamWorks Distribution,false
28,Charlie's Angels: Full Throttle,-,-,-,"$100,830,111","3,485","$100,830,111",Jun 27,Sony Pictures Entertainment (SPE),false
29,The Cat in the Hat,-,-,-,"$98,050,995","3,467","$101,149,285",Nov 21,Universal Pictures,false
30,Legally Blonde 2,-,-,-,"$90,186,328","3,375","$90,186,328",Jul 2,Metro-Goldwyn-Mayer (MGM),false
31,Freddy vs. Jason,-,-,-,"$82,618,358","3,014","$82,622,655",Aug 15,New Line Cinema,false
32,Brother Bear,-,-,-,"$82,580,265","3,030","$85,336,277",Oct 24,Walt Disney Studios Motion Pictures,false
33,Master and Commander: The Far Side of the World,-,-,-,"$81,531,748","3,101","$93,927,920",Nov 14,Twentieth Century Fox,false
34,The Texas Chainsaw Massacre,-,-,-,"$80,235,942","3,018","$80,571,655",Oct 17,New Line Cinema,false
35,School of Rock,-,-,-,"$79,870,600","2,951","$81,261,177",Oct 3,Paramount Pictures,false
36,The Last Samurai,-,-,-,"$79,722,506","2,938","$111,127,263",Dec 5,Warner Bros.,false
37,Old School,-,-,-,"$75,585,093","2,742","$75,585,093",Feb 21,DreamWorks Distribution,false
38,Kill Bill: Vol. 1,-,-,-,"$69,709,607","3,102","$70,099,045",Oct 10,Miramax,false
39,Holes,-,-,-,"$67,406,573","2,452","$67,406,573",Apr 18,Walt Disney Studios Motion Pictures,false
40,The Haunted Mansion,-,-,-,"$67,016,288","3,122","$75,847,266",Nov 26,Walt Disney Studios Motion Pictures,false
41,Kangaroo Jack,-,-,-,"$66,934,963","2,848","$66,934,963",Jan 17,Warner Bros.,false
42,The League of Extraordinary Gentlemen,-,-,-,"$66,465,204","3,002","$66,465,204",Jul 11,Twentieth Century Fox,false
43,Lara Croft Tomb Raider: The Cradle of Life,-,-,-,"$65,660,196","3,222","$65,660,196",Jul 25,Paramount Pictures,false
44,Something's Gotta Give,-,-,-,"$65,230,765","2,876","$124,728,738",Dec 12,Sony Pictures Entertainment (SPE),false
45,About Schmidt,-,-,-,"$61,997,645","1,240","$65,016,287",Dec 13,New Line Cinema,false
46,Shanghai Knights,-,-,-,"$60,476,906","2,755","$60,476,872",Feb 7,Walt Disney Studios Motion Pictures,false
