Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Avatar,-,-,-,"$466,141,929","3,461","$749,766,139",Dec 18,Twentieth Century Fox,false
2,Toy Story 3,-,-,-,"$415,004,880","4,028","$415,004,880",Jun 18,Walt Disney Studios Motion Pictures,false
3,Alice in Wonderland,-,-,-,"$334,191,110","3,739","$334,191,110",Mar 5,Walt Disney Studios Motion Pictures,false
4,Iron Man 2,-,-,-,"$312,433,331","4,390","$312,433,331",May 7,Paramount Pictures,false
5,The Twilight Saga: Eclipse,-,-,-,"$300,531,751","4,468","$300,531,751",Jun 30,Summit Entertainment,false
6,Inception,-,-,-,"$292,558,188","3,792","$292,576,195",Jul 16,Warner Bros.,false
7,Harry Potter and the Deathly Hallows: Part 1,-,-,-,"$280,230,127","4,125","$295,983,305",Nov 19,Warner Bros.,false
8,Despicable Me,-,-,-,"$251,083,040","3,602","$251,513,985",Jul 9,Universal Pictures,false
9,Shrek Forever After,-,-,-,"$238,736,787","4,386","$238,736,787",May 21,DreamWorks,false
10,How to Train Your Dragon,-,-,-,"$217,581,231","4,060","$217,581,231",Mar 26,DreamWorks,false
11,The Karate Kid,-,-,-,"$176,591,618","3,740","$176,591,618",Jun 11,Sony Pictures Entertainment (SPE),false
12,Clash of the Titans,-,-,-,"$163,214,888","3,802","$163,214,888",Apr 2,Warner Bros.,false
13,Grown Ups,-,-,-,"$162,001,186","3,534","$162,001,186",Jun 25,Sony Pictures Entertainment (SPE),false
14,Tangled,-,-,-,"$161,284,390","3,603","$200,821,936",Nov 24,Walt Disney Studios Motion Pictures,false
15,Megamind,-,-,-,"$143,767,792","3,949","$148,415,853",Nov 5,DreamWorks,false
16,The Last Airbender,-,-,-,"$131,772,187","3,203","$131,772,187",Jul 1,Paramount Pictures,false
17,Shutter Island,-,-,-,"$128,012,934","3,356","$128,012,934",Feb 19,Paramount Pictures,false
18,The Other Guys,-,-,-,"$119,219,978","3,651","$119,219,978",Aug 6,Sony Pictures Entertainment (SPE),false
19,Salt,-,-,-,"$118,311,368","3,612","$118,311,368",Jul 23,Sony Pictures Entertainment (SPE),false
20,TRON: Legacy,-,-,-,"$117,540,071","3,451","$172,062,763",Dec 17,Walt Disney Studios Motion Pictures,false
21,Jackass 3D,-,-,-,"$117,052,883","3,139","$117,229,692",Oct 15,Paramount Pictures,false
22,Valentine's Day,-,-,-,"$110,485,654","3,665","$110,485,654",Feb 12,Warner Bros.,false
23,Sherlock Holmes,-,-,-,"$106,925,723","3,626","$209,028,679",Dec 25,Warner Bros.,false
24,Robin Hood,-,-,-,"$105,269,730","3,505","$105,269,730",May 14,Universal Pictures,false
